task_id,status,start_time,end_time,error_message
45363ecf-c4b2-4cb1-afa7-01481349a084,FAILED,2026-08-04T11:16:01.197053,2026-08-04T11:16:09.898763,"Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=150.0.7871.186)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff76fcb0d25+155a5]
	chromedriver!GetHandleVerifier [0x7ff76fcb0d80+15600]
	chromedriver!(No symbol) [0x7ff76f80594d]
	chromedriver!(No symbol) [0x7ff76f7dc792]
	chromedriver!(No symbol) [0x7ff76f890536]
	chromedriver!(No symbol) [0x7ff76f8ad902]
	chromedriver!(No symbol) [0x7ff76f852e6c]
	chromedriver!(No symbol) [0x7ff76f853d93]
	chromedriver!GetHandleVerifier [0x7ff770296431+5facb1]
	chromedriver!GetHandleVerifier [0x7ff770290a9b+5f531b]
	chromedriver!GetHandleVerifier [0x7ff7702b5865+61a0e5]
	chromedriver!GetHandleVerifier [0x7ff76fccdace+3234e]
	chromedriver!GetHandleVerifier [0x7ff76fcd661c+3ae9c]
	chromedriver!GetHandleVerifier [0x7ff76fcbab74+1f3f4]
	chromedriver!GetHandleVerifier [0x7ff76fcbad04+1f584]
	chromedriver!GetHandleVerifier [0x7ff76fc9d9d7+2257]
	KERNEL32!BaseThreadInitThunk [0x7ffb4130e957+17]
	ntdll!RtlUserThreadStart [0x7ffb41bead6c+2c]
"
e028ce9e-4718-40c3-9dce-e99c94d77141,FAILED,2026-08-04T11:21:54.697743,2026-08-04T11:21:54.698701,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
6e22307d-5161-4e38-8082-5ba618843776,FAILED,2026-08-04T11:23:14.695227,2026-08-04T11:23:14.695908,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
59792c68-4361-4a5a-a0ad-b8e377d348a5,FAILED,2026-08-04T11:29:25.462242,2026-08-04T11:29:25.470504,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
fb25f281-1756-4d9d-b980-ffc8e6d4c009,FAILED,2026-08-04T11:30:51.692240,2026-08-04T11:30:51.692751,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
aa2fda1f-0b64-4aac-a1a5-555767fef2a8,FAILED,2026-08-04T11:33:20.595232,2026-08-04T11:33:20.597109,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
15cc4962-2fae-447c-bef2-8f74c4e3ba56,FAILED,2026-08-04T11:39:56.593206,2026-08-04T11:39:56.594242,[Errno 2] No such file or directory: 'C:\\Users\\HP\\Documents\\Flipkart-Price-Tracker\\scripts\\01_scrape_products.py'
bf21c2f7-241e-4abd-97d0-9bf4e5fb63e9,FAILED,2026-08-04T12:35:51.426004,2026-08-04T12:37:43.523062,"HTTPConnectionPool(host='localhost', port=61175): Max retries exceeded with url: /session/abef699d5fedee86860159235ca68ede/url (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=61175): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
5e053abd-f46a-498e-84fd-42fe8165423a,SUCCESS,2026-08-04T13:17:33.499069,2026-08-04T13:27:03.895767,
253442bc-a91c-4190-85a3-2b6711aef88c,SUCCESS,2026-08-07T10:37:40.460696,2026-08-07T10:52:39.182403,
